Player,group,Mat,Inns,NO,Runs,HS,Ave,BF,value,lastValue,Hundreds,Fifties,Ducks,year,Player_mod,rank
AC Hudson,SA,15,15,0,480,84,32,806,59.55,59.55,0,4,0,1994,AC Hudson (SA),17
AC Hudson,SA,24,24,1,950,161,41.3,1175,80.85,59.55,1,7,2,1996,AC Hudson (SA),12
AC Hudson,SA,10,10,0,97,26,9.7,199,48.74,80.85,0,0,1,1997,AC Hudson (SA),33
AC Waller,ZIM,5,5,0,170,67,34,254,66.92,66.92,0,1,0,1996,AC Waller (ZIM),20
AC Waller,ZIM,8,8,0,105,52,13.12,198,53.03,66.92,0,1,2,1997,AC Waller (ZIM),28
AD Brown,ENG,3,3,0,155,118,51.66,191,81.15,81.15,1,0,1,1996,AD Brown (ENG),11
AD Brown,ENG,5,5,0,90,59,18,79,113.92,81.15,0,1,1,1998,AD Brown (ENG),1
ADR Campbell,ZIM,14,14,0,494,102,35.28,662,74.62,74.62,2,3,0,1998,ADR Campbell (ZIM),16
ADR Campbell,ZIM,7,7,1,218,56,36.33,377,57.82,74.62,0,1,0,1999,ADR Campbell (ZIM),31
ADR Campbell,ZIM,15,15,2,630,105,48.46,846,74.46,57.82,1,3,0,2000,ADR Campbell (ZIM),15
ADR Campbell,ZIM,26,26,0,837,124,32.19,1227,68.21,74.46,3,3,2,2001,ADR Campbell (ZIM),26
ADR Campbell,ZIM,12,12,0,375,84,31.25,597,62.81,68.21,0,4,0,2002,ADR Campbell (ZIM),33
ADS Fletcher,WI,6,6,0,140,54,23.33,165,84.84,84.84,0,2,1,2009,ADS Fletcher (WI),19
Ahmed Shehzad,PAK,4,4,0,106,43,26.5,201,52.73,52.73,0,0,0,2009,Ahmed Shehzad (PAK),51
Ahmed Shehzad,PAK,14,14,1,362,115,27.84,472,76.69,52.73,2,0,2,2011,Ahmed Shehzad (PAK),26
AJ Burger,NAM,4,4,0,159,85,39.75,162,98.14,98.14,0,1,0,2003,AJ Burger (NAM),3
AJ Hall,SA,15,15,0,350,81,23.33,511,68.49,68.49,0,1,1,2000,AJ Hall (SA),19
AJ Redmond,NZ,5,5,0,136,52,27.2,229,59.38,59.38,0,1,0,2009,AJ Redmond (NZ),49
AJ Stewart,ENG,9,9,0,260,66,28.88,386,67.35,67.35,0,2,0,1994,AJ Stewart (ENG),10
AJ Stewart,ENG,10,10,0,303,64,30.3,428,70.79,67.35,0,1,0,1996,AJ Stewart (ENG),17
AJ Stewart,ENG,9,9,0,434,116,48.22,511,84.93,70.79,1,2,0,1997,AJ Stewart (ENG),8
AJ Stewart,ENG,6,6,0,150,74,25,242,61.98,84.93,0,1,0,1998,AJ Stewart (ENG),29
AJ Stewart,ENG,20,20,0,365,88,18.25,577,63.25,61.98,0,1,3,1999,AJ Stewart (ENG),24
AJ Stewart,ENG,12,12,3,553,101,61.44,817,67.68,63.25,2,3,1,2000,AJ Stewart (ENG),20
AJ Stewart,ENG,4,4,0,112,55,28,193,58.03,67.68,0,1,0,2001,AJ Stewart (ENG),33
AJ Strauss,ENG,10,10,1,466,152,51.77,530,87.92,87.92,1,2,0,2005,AJ Strauss (ENG),8
AJ Strauss,ENG,17,17,1,517,78,32.31,685,75.47,87.92,0,6,2,2006,AJ Strauss (ENG),19
AJ Strauss,ENG,6,6,0,101,28,16.83,192,52.6,75.47,0,0,0,2007,AJ Strauss (ENG),54
AJ Strauss,ENG,21,21,1,647,105,32.35,828,78.14,52.6,1,4,2,2009,AJ Strauss (ENG),28
AJ Strauss,ENG,14,14,0,806,154,57.57,840,95.95,78.14,2,6,0,2010,AJ Strauss (ENG),10
AJ Strauss,ENG,14,14,0,513,158,36.64,574,89.37,95.95,1,3,2,2011,AJ Strauss (ENG),13
Al Sahariar,BDESH,5,5,0,94,59,18.8,177,53.1,53.1,0,1,1,2001,Al Sahariar (BDESH),34
Al Sahariar,BDESH,7,7,0,60,25,8.57,94,63.82,53.1,0,0,3,2002,Al Sahariar (BDESH),32
Al Sahariar,BDESH,6,6,0,46,14,7.66,86,53.48,63.82,0,0,1,2003,Al Sahariar (BDESH),32
AM Bacher,SA,7,7,0,123,45,17.57,243,50.61,50.61,0,0,0,1997,AM Bacher (SA),31
AM Rahane,INDIA,11,11,0,340,91,30.9,453,75.05,75.05,0,2,2,2011,AM Rahane (INDIA),31
AM Samad,CAN,9,9,1,262,83,32.75,354,74.01,74.01,0,2,1,2007,AM Samad (CAN),27
AM Samad,CAN,3,3,0,169,130,56.33,188,89.89,74.01,1,0,0,2008,AM Samad (CAN),16
AN Cook,ENG,14,14,0,403,102,28.78,608,66.28,66.28,1,1,3,2007,AN Cook (ENG),40
AN Cook,ENG,7,7,0,219,69,31.28,330,66.36,66.28,0,2,0,2008,AN Cook (ENG),33
AN Cook,ENG,3,3,0,156,64,52,172,90.69,66.36,0,2,0,2010,AN Cook (ENG),13
AN Cook,ENG,15,15,2,600,119,46.15,644,93.16,90.69,1,5,1,2011,AN Cook (ENG),9
AN Cook,ENG,15,15,1,663,137,47.35,829,79.97,93.16,3,3,2,2012,AN Cook (ENG),16
AN Kervezee,NL,6,5,1,168,62,42,236,71.18,71.18,0,1,0,2007,AN Kervezee (NL),30
AN Kervezee,NL,6,6,0,164,75,27.33,254,64.56,71.18,0,1,0,2009,AN Kervezee (NL),47
AN Kervezee,NL,6,6,0,159,92,26.5,198,80.3,64.56,0,1,0,2010,AN Kervezee (NL),27
Anamul Haque,BDESH,5,5,0,195,120,39,274,71.16,71.16,1,0,1,2012,Anamul Haque (BDESH),22
AP Gurusinha,SL,5,5,0,163,108,32.6,230,70.86,70.86,1,0,1,1995,AP Gurusinha (SL),7
Athar Ali Khan,BDESH,7,7,0,259,82,37,413,62.71,62.71,0,2,1,1997,Athar Ali Khan (BDESH),24
Azhar Ali,PAK,5,5,1,245,96,61.25,350,70,70,0,3,0,2012,Azhar Ali (PAK),23
B Zuiderent,NL,7,7,1,161,63,26.83,268,60.07,60.07,0,1,0,2006,B Zuiderent (NL),40
B Zuiderent,NL,8,8,2,254,77,42.33,428,59.34,60.07,0,2,0,2007,B Zuiderent (NL),49
BA Parchment,WI,5,5,0,82,48,16.4,153,53.59,53.59,0,0,0,2008,BA Parchment (WI),45
BA Young,NZ,27,27,2,606,65,24.24,1118,54.2,54.2,0,2,2,1994,BA Young (NZ),22
BA Young,NZ,8,8,0,126,42,15.75,215,58.6,54.2,0,0,0,1995,BA Young (NZ),19
BA Young,NZ,5,5,0,102,58,20.4,157,64.96,58.6,0,1,0,1996,BA Young (NZ),22
BA Young,NZ,10,10,0,261,59,26.1,377,69.23,64.96,0,2,0,1997,BA Young (NZ),19
BA Young,NZ,6,6,0,163,55,27.16,254,64.17,69.23,0,1,0,1998,BA Young (NZ),26
BA Young,NZ,4,4,1,113,57,37.66,124,91.12,64.17,0,2,1,1999,BA Young (NZ),3
BB McCullum,NZ,14,13,1,443,96,36.91,443,100,100,0,3,1,2007,BB McCullum (NZ),8
BB McCullum,NZ,16,15,2,618,166,47.53,561,110.16,100,1,4,0,2008,BB McCullum (NZ),4
BB McCullum,NZ,23,22,0,714,131,32.45,908,78.63,110.16,1,3,3,2009,BB McCullum (NZ),26
BB McCullum,NZ,15,15,0,324,61,21.6,332,97.59,78.63,0,2,3,2010,BB McCullum (NZ),7
BB McCullum,NZ,9,9,2,268,101,38.28,290,92.41,97.59,1,1,0,2011,BB McCullum (NZ),10
BC Lara,WI,4,4,0,127,117,31.75,82,154.87,154.87,1,0,1,1999,BC Lara (WI),1
BG Rogers,ZIM,3,3,0,131,54,43.66,181,72.37,72.37,0,2,0,2004,BG Rogers (ZIM),16
BG Rogers,ZIM,8,8,0,300,84,37.5,449,66.81,72.37,0,3,0,2005,BG Rogers (ZIM),25
BJ Haddin,AUS,13,13,1,559,109,46.58,621,90.01,90.01,1,4,1,2009,BJ Haddin (AUS),13
BJ Haddin,AUS,11,11,0,344,110,31.27,404,85.14,90.01,1,1,1,2010,BJ Haddin (AUS),19
BJ Haddin,AUS,19,18,0,576,88,32,761,75.68,85.14,0,5,0,2011,BJ Haddin (AUS),30
BJ Watling,NZ,3,2,1,111,96,111,114,97.36,97.36,0,1,0,2012,BJ Watling (NZ),3
BR Hartland,NZ,12,12,1,217,68,19.72,425,51.05,51.05,0,1,1,1994,BR Hartland (NZ),25
BRM Taylor,ZIM,17,17,0,402,74,23.64,748,53.74,53.74,0,4,1,2004,BRM Taylor (ZIM),34
BRM Taylor,ZIM,15,15,2,648,145,49.84,787,82.33,53.74,2,3,1,2010,BRM Taylor (ZIM),22
BRM Taylor,ZIM,11,11,0,293,106,26.63,385,76.1,82.33,1,1,2,2011,BRM Taylor (ZIM),28
C Kieswetter,ENG,12,12,0,320,107,26.66,373,85.79,85.79,1,1,2,2010,C Kieswetter (ENG),17
C Kieswetter,ENG,16,16,1,489,72,32.6,486,100.61,85.79,0,4,1,2011,C Kieswetter (ENG),4
CB Lambert,WI,6,6,0,236,119,39.33,249,94.77,94.77,1,1,0,1998,CB Lambert (WI),5
CB Wishart,ZIM,8,8,0,259,102,32.37,352,73.57,73.57,1,0,2,1998,CB Wishart (ZIM),20
CB Wishart,ZIM,6,6,0,73,45,12.16,169,43.19,73.57,0,0,0,2000,CB Wishart (ZIM),33
CB Wishart,ZIM,12,11,1,330,172,33,427,77.28,43.19,1,0,1,2003,CB Wishart (ZIM),15
CD Cumming,NZ,5,5,0,58,25,11.6,115,50.43,50.43,0,0,1,2003,CD Cumming (NZ),37
CD Cumming,NZ,5,5,1,80,45,20,134,59.7,50.43,0,0,1,2004,CD Cumming (NZ),30
CD McMillan,NZ,5,5,0,122,75,24.4,146,83.56,83.56,0,1,1,2003,CD McMillan (NZ),9
CH Gayle,WI,19,19,0,722,152,38,908,79.51,79.51,1,6,2,2001,CH Gayle (WI),14
CH Gayle,WI,23,22,0,1097,140,49.86,1238,88.61,79.51,3,7,0,2002,CH Gayle (WI),10
CH Gayle,WI,21,21,2,981,153,51.63,1257,78.04,88.61,3,6,2,2003,CH Gayle (WI),14
CH Gayle,WI,23,22,3,722,152,38,1015,71.13,78.04,2,2,1,2004,CH Gayle (WI),17
CH Gayle,WI,17,17,0,563,132,33.11,635,88.66,71.13,2,2,3,2005,CH Gayle (WI),7
CH Gayle,WI,31,31,3,1216,133,43.42,1445,84.15,88.66,4,4,5,2006,CH Gayle (WI),11
CH Gayle,WI,21,20,3,611,85,35.94,741,82.45,84.15,0,6,1,2007,CH Gayle (WI),16
CH Gayle,WI,13,13,1,632,122,52.66,693,91.19,82.45,3,3,1,2008,CH Gayle (WI),12
CH Gayle,WI,15,15,1,553,135,39.5,470,117.65,91.19,1,2,2,2009,CH Gayle (WI),3
CH Gayle,WI,15,15,1,456,88,32.57,470,97.02,117.65,0,3,1,2010,CH Gayle (WI),8
CH Gayle,WI,8,8,1,202,80,28.85,221,91.4,97.02,0,1,1,2011,CH Gayle (WI),11
CH Gayle,WI,11,11,1,345,125,34.5,384,89.84,91.4,1,2,0,2012,CH Gayle (WI),6
CJ Chibhabha,ZIM,5,5,0,26,16,5.2,53,49.05,49.05,0,0,0,2006,CJ Chibhabha (ZIM),47
CJ Nevin,NZ,8,7,0,167,74,23.85,211,79.14,79.14,0,2,1,2000,CJ Nevin (NZ),10
CJ Nevin,NZ,4,4,0,113,50,28.25,110,102.72,79.14,0,1,1,2001,CJ Nevin (NZ),3
CJ Nevin,NZ,9,9,0,230,55,25.55,286,80.41,102.72,0,1,0,2002,CJ Nevin (NZ),17
CJ Nevin,NZ,10,10,0,125,29,12.5,236,52.96,80.41,0,0,2,2003,CJ Nevin (NZ),33
CJ Smith,BMUDA,7,7,0,99,52,14.14,129,76.74,76.74,0,1,2,2007,CJ Smith (BMUDA),24
CM Spearman,NZ,20,20,0,391,78,19.55,470,83.19,83.19,0,2,2,1996,CM Spearman (NZ),8
CM Spearman,NZ,5,5,0,143,68,28.6,168,85.11,83.19,0,1,0,1999,CM Spearman (NZ),6
CM Spearman,NZ,11,10,0,98,42,9.8,151,64.9,85.11,0,0,3,2000,CM Spearman (NZ),25
CR Foggo,BMUDA,4,4,0,106,60,26.5,174,60.91,60.91,0,1,0,2008,CR Foggo (BMUDA),40
D Ganga,WI,19,19,0,592,71,31.15,986,60.04,60.04,0,8,2,2001,D Ganga (WI),32
D Ganga,WI,5,5,0,111,54,22.2,193,57.51,60.04,0,1,0,2006,D Ganga (WI),41
D Mongia,INDIA,9,9,2,289,159,41.28,333,86.78,86.78,1,0,1,2002,D Mongia (INDIA),12
DA Gunawardene,SL,5,5,0,65,52,13,77,84.41,84.41,0,1,2,1998,DA Gunawardene (SL),11
DA Gunawardene,SL,7,7,0,186,75,26.57,244,76.22,84.41,0,1,0,1999,DA Gunawardene (SL),12
DA Gunawardene,SL,9,9,0,376,132,41.77,407,92.38,76.22,1,1,2,2000,DA Gunawardene (SL),2
DA Gunawardene,SL,15,15,0,474,90,31.6,692,68.49,92.38,0,4,0,2001,DA Gunawardene (SL),24
DA Gunawardene,SL,13,13,1,293,64,24.41,487,60.16,68.49,0,3,1,2004,DA Gunawardene (SL),29
DA Marillier,ZIM,7,7,0,103,46,14.71,190,54.21,54.21,0,0,0,2000,DA Marillier (ZIM),31
DA Marillier,ZIM,9,8,0,231,100,28.87,327,70.64,54.21,1,1,1,2003,DA Marillier (ZIM),23
DA Minors,BMUDA,6,6,0,168,68,28,260,64.61,64.61,0,1,1,2006,DA Minors (BMUDA),35
DA Minors,BMUDA,6,6,0,156,52,26,276,56.52,64.61,0,2,0,2007,DA Minors (BMUDA),51
DA Warner,AUS,7,7,0,106,69,15.14,137,77.37,77.37,0,1,1,2009,DA Warner (AUS),29
DA Warner,AUS,3,3,0,104,74,34.66,132,78.78,77.37,0,1,0,2011,DA Warner (AUS),22
DA Warner,AUS,25,24,0,840,163,35,1014,82.84,78.78,2,3,0,2012,DA Warner (AUS),11
DC Boon,AUS,14,14,0,536,76,38.28,934,57.38,57.38,0,5,0,1994,DC Boon (AUS),20
DD Ebrahim,ZIM,11,11,0,326,121,29.63,525,62.09,62.09,1,1,3,2001,DD Ebrahim (ZIM),31
DD Ebrahim,ZIM,9,9,0,149,42,16.55,297,50.16,62.09,0,0,1,2002,DD Ebrahim (ZIM),36
DD Ebrahim,ZIM,8,6,0,95,40,15.83,203,46.79,50.16,0,0,1,2003,DD Ebrahim (ZIM),39
DF Watts,SCOT,14,14,0,379,70,27.07,638,59.4,59.4,0,4,0,2007,DF Watts (SCOT),48
DF Watts,SCOT,4,4,0,128,101,32,152,84.21,59.4,1,0,1,2009,DF Watts (SCOT),20
DF Watts,SCOT,4,4,1,254,98,84.66,391,64.96,84.21,0,3,0,2010,DF Watts (SCOT),47
DJ Callaghan,SA,3,3,1,187,169,93.5,193,96.89,96.89,1,0,0,1994,DJ Callaghan (SA),1
DJ Cullinan,SA,5,5,0,149,69,29.8,164,90.85,90.85,0,1,0,1998,DJ Cullinan (SA),7
DJ Reekers,NL,4,4,0,118,45,29.5,91,129.67,129.67,0,0,0,2006,DJ Reekers (NL),1
DJ Reekers,NL,9,9,0,269,104,29.88,219,122.83,129.67,1,0,1,2007,DJ Reekers (NL),1
DL Haynes,WI,4,4,0,268,115,67,328,81.7,81.7,1,2,0,1994,DL Haynes (WI),3
DL Hemp,BMUDA,2,2,1,183,102,183,253,72.33,72.33,1,1,0,2009,DL Hemp (BMUDA),37
DM Richards,WI,4,4,0,157,59,39.25,207,75.84,75.84,0,2,0,2010,DM Richards (WI),31
DN Chudasama,KENYA,9,8,0,183,51,22.87,336,54.46,54.46,0,1,1,1996,DN Chudasama (KENYA),31
DN Chudasama,KENYA,6,6,0,170,122,28.33,204,83.33,54.46,1,0,0,1997,DN Chudasama (KENYA),10
DO Obuya,KENYA,8,8,0,142,44,17.75,265,53.58,53.58,0,0,0,2006,DO Obuya (KENYA),43
DO Obuya,KENYA,16,16,1,434,93,28.93,543,79.92,53.58,0,3,2,2007,DO Obuya (KENYA),17
DO Obuya,KENYA,10,9,0,257,56,28.55,299,85.95,79.92,0,1,1,2009,DO Obuya (KENYA),16
DO Obuya,KENYA,5,5,0,91,32,18.2,134,67.91,85.95,0,0,1,2010,DO Obuya (KENYA),42
DPMD Jayawardene,SL,2,2,0,142,123,71,127,111.81,111.81,1,0,0,2009,DPMD Jayawardene (SL),4
DPMD Jayawardene,SL,3,3,0,180,108,60,219,82.19,111.81,1,0,0,2010,DPMD Jayawardene (SL),23
DPMD Jayawardene,SL,5,4,0,296,144,74,303,97.68,82.19,1,2,0,2011,DPMD Jayawardene (SL),5
DPMD Jayawardene,SL,12,12,1,425,85,38.63,465,91.39,97.68,0,4,0,2012,DPMD Jayawardene (SL),4
DR Martyn,AUS,1,1,1,116,116,-,135,85.92,85.92,1,0,0,2000,DR Martyn (AUS),5
DR Martyn,AUS,3,3,2,232,144,232,246,94.3,85.92,1,1,0,2001,DR Martyn (AUS),4
DS Lehmann,AUS,2,2,2,142,92,-,162,87.65,87.65,0,2,0,2001,DS Lehmann (AUS),8
DS Lehmann,AUS,1,1,0,119,119,119,119,100,87.65,1,0,0,2002,DS Lehmann (AUS),4
DS Smith,WI,12,12,1,202,61,18.36,308,65.58,65.58,0,1,1,2007,DS Smith (WI),42
DS Smith,WI,3,3,0,110,91,36.66,125,88,65.58,0,1,0,2008,DS Smith (WI),18
DS Smith,WI,10,10,0,333,107,33.3,446,74.66,88,1,2,1,2011,DS Smith (WI),32
EC Joyce,ENG,10,10,0,372,107,37.2,530,70.18,70.18,1,3,1,2007,EC Joyce (ENG),31
EC Joyce,IRE,5,5,0,130,88,26,197,65.98,70.18,0,1,0,2011,EC Joyce (IRE),36
ES Szwarczynski,NL,12,12,1,255,84,23.18,345,73.91,73.91,0,2,0,2010,ES Szwarczynski (NL),35
ES Szwarczynski,NL,5,5,0,77,28,15.4,146,52.73,73.91,0,0,0,2011,ES Szwarczynski (NL),43
Faisal Iqbal,PAK,2,2,1,125,100,125,130,96.15,96.15,1,0,0,2002,Faisal Iqbal (PAK),6
G Gambhir,INDIA,5,5,0,113,71,22.6,185,61.08,61.08,0,1,0,2003,G Gambhir (INDIA),27
G Gambhir,INDIA,5,5,0,180,103,36,200,90,61.08,1,0,1,2005,G Gambhir (INDIA),5
G Gambhir,INDIA,5,5,0,115,38,23,150,76.66,90,0,0,0,2006,G Gambhir (INDIA),18
G Gambhir,INDIA,10,10,2,307,101,38.37,386,79.53,76.66,1,2,1,2007,G Gambhir (INDIA),18
G Gambhir,INDIA,18,18,1,688,107,40.47,743,92.59,79.53,1,6,1,2008,G Gambhir (INDIA),10
G Gambhir,INDIA,13,10,1,413,150,45.88,418,98.8,92.59,1,3,1,2009,G Gambhir (INDIA),8
G Gambhir,INDIA,14,14,2,670,138,55.83,713,93.96,98.8,2,3,2,2010,G Gambhir (INDIA),12
G Gambhir,INDIA,4,4,0,158,67,39.5,180,87.77,93.96,0,1,0,2011,G Gambhir (INDIA),16
G Gambhir,INDIA,13,13,0,570,102,43.84,690,82.6,87.77,2,4,2,2012,G Gambhir (INDIA),14
G Kirsten,SA,18,18,1,566,112,33.29,953,59.39,59.39,1,3,0,1994,G Kirsten (SA),18
G Kirsten,SA,5,5,0,288,87,57.6,433,66.51,59.39,0,3,0,1995,G Kirsten (SA),10
G Kirsten,SA,27,27,4,1423,188,61.86,1692,84.1,66.51,6,4,1,1996,G Kirsten (SA),6
G Kirsten,SA,16,16,1,593,89,39.53,881,67.3,84.1,0,7,1,1997,G Kirsten (SA),22
G Kirsten,SA,18,18,1,561,103,33,739,75.91,67.3,1,3,3,1998,G Kirsten (SA),15
G Kirsten,SA,20,20,2,465,82,25.83,780,59.61,75.91,0,3,2,1999,G Kirsten (SA),29
G Kirsten,SA,36,36,3,1467,115,44.45,2004,73.2,59.61,2,13,1,2000,G Kirsten (SA),17
G Kirsten,SA,13,13,1,638,133,53.16,798,79.94,73.2,2,4,0,2001,G Kirsten (SA),13
G Kirsten,SA,17,17,1,462,102,28.87,682,67.74,79.94,1,2,2,2002,G Kirsten (SA),27
G Kirsten,SA,3,3,2,173,69,173,187,92.51,67.74,0,3,0,2003,G Kirsten (SA),4
GC Smith,SA,18,18,1,728,99,42.82,979,74.36,74.36,0,5,0,2002,GC Smith (SA),20
GC Smith,SA,19,18,0,600,71,33.33,779,77.02,74.36,0,6,0,2003,GC Smith (SA),16
GC Smith,SA,18,18,1,652,80,38.35,899,72.52,77.02,0,4,0,2004,GC Smith (SA),15
GC Smith,SA,22,22,2,984,134,49.2,1138,86.46,72.52,5,2,1,2005,GC Smith (SA),10
GC Smith,SA,21,21,1,561,119,28.05,658,85.25,86.46,1,3,4,2006,GC Smith (SA),10
GC Smith,SA,26,25,2,1079,96,46.91,1171,92.14,85.25,0,12,3,2007,GC Smith (SA),13
GC Smith,SA,11,11,2,492,103,54.66,578,85.12,92.14,1,5,0,2008,GC Smith (SA),20
GC Smith,SA,13,13,0,502,141,38.61,521,96.35,85.12,1,4,0,2009,GC Smith (SA),11
GC Smith,SA,11,11,1,328,92,32.8,384,85.41,96.35,0,1,0,2010,GC Smith (SA),18
GC Smith,SA,15,15,0,419,77,27.93,643,65.16,85.41,0,2,0,2011,GC Smith (SA),37
GC Smith,SA,11,10,0,338,125,33.8,466,72.53,65.16,1,2,0,2012,GC Smith (SA),21
GC Wilson,IRE,6,6,0,119,51,19.83,185,64.32,64.32,0,1,1,2008,GC Wilson (IRE),36
GC Wilson,IRE,7,7,1,137,51,22.83,201,68.15,64.32,0,1,1,2009,GC Wilson (IRE),43
GC Wilson,IRE,2,2,1,161,113,161,200,80.5,68.15,1,0,0,2010,GC Wilson (IRE),26
GEF Barnett,CAN,6,6,0,173,77,28.83,281,61.56,61.56,0,1,0,2007,GEF Barnett (CAN),45
GJ Whittall,ZIM,6,6,0,130,83,21.66,201,64.67,64.67,0,1,1,2000,GJ Whittall (ZIM),26
GJ Whittall,ZIM,11,11,0,220,36,20,441,49.88,64.67,0,0,0,2001,GJ Whittall (ZIM),36
GK Khoda,INDIA,2,2,0,115,89,57.5,185,62.16,62.16,0,1,0,1998,GK Khoda (INDIA),28
GM Hamilton,SCOT,6,6,0,233,115,38.83,369,63.14,63.14,1,1,0,2008,GM Hamilton (SCOT),38
GM Hamilton,SCOT,7,7,0,268,119,38.28,409,65.52,63.14,1,1,0,2009,GM Hamilton (SCOT),44
GO Jones,ENG,7,7,0,139,39,19.85,209,66.5,66.5,0,0,0,2005,GO Jones (ENG),26
GS Blewett,AUS,5,5,0,118,53,23.6,197,59.89,59.89,0,1,0,1997,GS Blewett (AUS),25
GW Flower,ZIM,6,6,1,133,84,26.6,246,54.06,54.06,0,1,2,1994,GW Flower (ZIM),23
GW Flower,ZIM,6,6,0,138,41,23,312,44.23,54.06,0,0,0,1995,GW Flower (ZIM),22
GW Flower,ZIM,15,15,1,446,91,31.85,733,60.84,44.23,0,2,1,1996,GW Flower (ZIM),25
GW Flower,ZIM,22,22,1,843,90,40.14,1165,72.36,60.84,0,9,1,1997,GW Flower (ZIM),15
GW Flower,ZIM,23,23,1,928,112,42.18,1317,70.46,72.36,2,6,1,1998,GW Flower (ZIM),24
GW Flower,ZIM,24,24,0,746,140,31.08,1063,70.17,70.46,1,2,2,1999,GW Flower (ZIM),18
GW Flower,ZIM,9,9,0,140,36,15.55,258,54.26,70.17,0,0,2,2000,GW Flower (ZIM),30
GW Flower,ZIM,14,14,0,480,104,34.28,655,73.28,54.26,1,2,1,2001,GW Flower (ZIM),19
GW Flower,ZIM,6,5,0,201,94,40.2,276,72.82,73.28,0,2,0,2004,GW Flower (ZIM),14
H Masakadza,ZIM,4,4,0,165,80,41.25,221,74.66,74.66,0,1,0,2007,H Masakadza (ZIM),26
H Masakadza,ZIM,12,12,0,324,87,27,410,79.02,74.66,0,3,0,2008,H Masakadza (ZIM),25
H Masakadza,ZIM,25,25,2,974,178,42.34,1084,89.85,79.02,2,5,2,2009,H Masakadza (ZIM),14
H Masakadza,ZIM,16,16,0,320,66,20,452,70.79,89.85,0,2,4,2010,H Masakadza (ZIM),39
H Patel,CAN,8,8,0,139,43,17.37,187,74.33,74.33,0,0,1,2010,H Patel (CAN),32
H Patel,CAN,6,6,0,232,62,38.66,245,94.69,74.33,0,2,0,2011,H Patel (CAN),7
Hannan Sarkar,BDESH,12,12,0,242,61,20.16,445,54.38,54.38,0,2,2,2003,Hannan Sarkar (BDESH),31
Hannan Sarkar,BDESH,4,4,0,113,59,28.25,195,57.94,54.38,0,1,0,2004,Hannan Sarkar (BDESH),33
HH Dippenaar,SA,8,8,1,372,81,53.14,571,65.14,65.14,0,4,0,2001,HH Dippenaar (SA),27
HH Dippenaar,SA,3,3,1,242,110,121,332,72.89,65.14,1,2,0,2003,HH Dippenaar (SA),19
HH Dippenaar,SA,9,9,2,371,123,53,428,86.68,72.89,1,3,0,2005,HH Dippenaar (SA),9
HH Dippenaar,SA,18,18,2,651,125,40.68,977,66.63,86.68,2,3,1,2006,HH Dippenaar (SA),32
HH Gibbs,SA,8,8,0,149,33,18.62,208,71.63,71.63,0,0,1,1997,HH Gibbs (SA),16
HH Gibbs,SA,22,22,2,805,125,40.25,1091,73.78,71.63,2,4,1,1999,HH Gibbs (SA),16
HH Gibbs,SA,19,19,2,572,111,33.64,724,79,73.78,1,4,2,2000,HH Gibbs (SA),11
HH Gibbs,SA,21,21,0,846,125,40.28,975,86.76,79,3,3,0,2001,HH Gibbs (SA),9
HH Gibbs,SA,37,37,3,1310,153,38.52,1483,88.33,86.76,5,3,8,2002,HH Gibbs (SA),11
HH Gibbs,SA,21,20,3,693,143,40.76,797,86.95,88.33,1,4,1,2003,HH Gibbs (SA),6
HH Gibbs,SA,18,18,1,398,101,23.41,564,70.56,86.95,1,1,2,2004,HH Gibbs (SA),19
HH Gibbs,SA,8,8,0,444,119,55.5,454,97.79,70.56,3,1,2,2007,HH Gibbs (SA),9
HH Gibbs,SA,14,14,0,413,102,29.5,488,84.63,97.79,1,2,0,2008,HH Gibbs (SA),21
HH Gibbs,SA,10,10,0,392,110,39.2,458,85.58,84.63,1,2,0,2009,HH Gibbs (SA),18
HM Amla,SA,7,7,1,343,140,57.16,348,98.56,98.56,1,1,0,2008,HM Amla (SA),8
HM Amla,SA,12,12,1,480,97,43.63,632,75.94,98.56,0,5,0,2009,HM Amla (SA),32
HM Amla,SA,15,15,1,1058,129,75.57,1015,104.23,75.94,5,4,0,2010,HM Amla (SA),4
HM Amla,SA,15,15,1,632,116,45.14,718,88.02,104.23,2,5,1,2011,HM Amla (SA),15
HM Amla,SA,10,9,1,678,150,84.75,747,90.76,88.02,2,4,0,2012,HM Amla (SA),5
HP Rinke,ZIM,12,12,0,277,72,23.08,306,90.52,90.52,0,3,2,2006,HP Rinke (ZIM),5
I Maraj,CAN,5,5,1,98,53,24.5,263,37.26,37.26,0,1,1,2003,I Maraj (CAN),42
Ijaz Ahmed,PAK,2,2,1,199,139,199,126,157.93,157.93,1,1,0,1997,Ijaz Ahmed (PAK),1
IJL Trott,ENG,2,2,1,139,87,139,196,70.91,70.91,0,2,0,2009,IJL Trott (ENG),39
Imran Farhat,PAK,5,5,0,348,107,69.6,430,80.93,80.93,1,3,1,2003,Imran Farhat (PAK),10
Imran Farhat,PAK,12,12,1,290,87,26.36,442,65.61,80.93,0,1,1,2004,Imran Farhat (PAK),25
Imran Farhat,PAK,11,11,0,274,58,24.9,409,66.99,65.61,0,2,0,2006,Imran Farhat (PAK),30
Imran Farhat,PAK,4,4,0,140,66,35,212,66.03,66.99,0,1,0,2010,Imran Farhat (PAK),46
Imran Farhat,PAK,9,9,1,261,75,32.62,354,73.72,66.03,0,3,1,2011,Imran Farhat (PAK),34
